年,月-期底,排名,銀行別,董/理事長、理事主席,總經理,淨值-新臺幣百萬元,資產總額-新臺幣百萬元,存款餘額-新臺幣百萬元,放款餘額-新臺幣百萬元,國內分行家數-家,國外分支機構家數-分行-家,國外分支機構家數-代表人辦事處-家,國外分支機構家數-其他分支機構-家
104,3,1,臺灣銀行#,李紀珠,蕭長瑞,"254,458","4,433,129","3,579,362","2,387,596",163,8,1,0
104,3,2,兆豐國際商業銀行#,蔡友才,魏美玉,"223,778","3,110,506","2,060,755","1,732,550",107,21,3,13
104,3,3,中國信託商業銀行#,童兆勤,陳佳文,"203,445","2,484,828","1,940,894","1,346,820",146,8,4,93
104,3,4,合作金庫商業銀行◎#,廖燦昌,林鴻琛,"174,466","2,970,393","2,415,204","1,865,645",276,9,1,4
104,3,5,第一商業銀行#,蔡慶年,周伯蕉,"156,891","2,276,468","1,815,603","1,452,988",189,17,2,7
104,3,6,台北富邦銀行#,蔡明忠,韓蔚廷,"155,839","1,960,934","1,421,077","1,167,891",125,5,0,15
104,3,7,國泰世華商業銀行#,陳祖培,李長庚,"149,473","2,256,136","1,755,913","1,135,539",164,8,5,52
104,3,8,華南商業銀行#,林明成,楊豊彥,"143,466","2,232,064","1,851,776","1,479,212",185,10,1,1
104,3,9,彰化商業銀行,張明道,施建安,"122,149","1,978,688","1,460,322","1,321,076",184,8,0,1
104,3,10,臺灣土地銀行,徐光曦,高明賢,"121,718","2,525,489","2,121,444","1,884,384",151,6,0,0
104,3,11,中華開發工業銀行#,張家祝,楊文鈞,"114,910","465,350","210,116","130,912",3,0,0,0
104,3,12,上海商業儲蓄銀行,榮鴻慶,邱怡仁,"110,202","1,021,384","804,865","573,979",68,2,2,2
104,3,13,玉山商業銀行#,曾國烈,黃男州,"107,697","1,571,614","1,303,789","939,917",135,4,2,9
104,3,14,永豐商業銀行#,邱正雄,江威娜,"102,322","1,413,612","1,102,939","783,545",128,4,1,14
104,3,15,花旗(台灣)銀行,管國霖,張聖心,"96,937","742,983","539,786","264,368",59,0,0,0
104,3,16,台新國際商業銀行#,吳東亮,鍾隆毓,"85,875","1,457,560","1,017,747","830,585",98,2,1,0
104,3,17,臺灣中小企業銀行,黃添昌,林增壽,"64,112","1,396,660","1,193,115","1,034,440",124,5,0,0
104,3,18,元大商業銀行#,范志強,金家琳,"52,555","751,323","629,646","457,254",87,0,1,0
104,3,19,滙豐(台灣)商業銀行,瑞杰揚,李鐘培,"48,270","784,605","454,034","263,369",41,0,0,0
104,3,20,渣打國際商業銀行,洪丕正,陳銘僑,"45,581","728,905","557,706","317,675",87,0,0,0
104,3,21,臺灣新光商業銀行#,李增昌,賴進淵,"42,898","755,993","659,917","481,407",104,1,1,0
104,3,22,遠東國際商業銀行,侯金英,洪信德,"37,161","536,329","429,554","337,660",55,1,0,0
104,3,23,台中商業銀行,蘇金豐,李俊昇,"36,916","532,226","458,878","379,943",79,0,0,0
104,3,24,大眾商業銀行,陳建平,蔡榮棟,"33,612","459,328","345,559","283,588",66,1,0,0
104,3,25,聯邦商業銀行,李憲章,林鴻聯,"33,008","489,851","405,921","275,762",89,0,2,1
104,3,26,星展(台灣)商業銀行,王開源,陳亮丞,"31,772","354,942","249,287","202,149",42,0,0,0
104,3,27,臺灣工業銀行,駱錦明,楊錦裕,"29,209","237,212","148,740","122,760",3,1,1,8
104,3,28,京城商業銀行,戴誠志,簡世鉅,"28,934","238,665","162,082","124,637",63,0,0,0
104,3,29,安泰商業銀行,齊百邁,丁予康,"28,693","334,752","262,774","192,809",52,0,0,0
104,3,30,澳盛(台灣)商業銀行,布樂達,經天瑞,"24,853","298,341","180,752","147,333",14,0,0,0
104,3,31,中國輸出入銀行,朱潤逢,林水永,"19,784","100,423",0,"92,196",4,0,0,0
104,3,32,凱基商業銀行#,魏寶生,張立荃,"19,523","162,523","135,603","99,327",48,0,0,0
104,3,33,陽信商業銀行,林彭郎,丁偉豪,"19,112","337,519","297,025","230,164",99,0,0,0
104,3,34,日盛國際商業銀行#,黃錦瑭,王芝芳,"18,823","222,799","187,938","141,038",43,0,1,0
104,3,35,板信商業銀行,劉炳輝,林文龍,"11,847","200,326","178,163","129,464",63,0,0,0
104,3,36,高雄銀行,陳統民,黃滿生,"11,509","266,977","236,023","180,240",35,0,0,0
104,3,37,華泰商業銀行,林博義,李竹雨,"8,403","128,340","109,537","82,935",30,0,0,0
104,3,38,三信商業銀行,廖松岳,張金庭,"6,806","140,617","129,766","104,671",25,0,0,0
