半年[季/月]平均別,十五歲以上民間人口[千人],勞動力人口/合計[千人],勞動力人口/就業者[千人],勞動力人口/失業者[千人],非勞動力人口[千人],勞動力參與率[%],失業率[%],就業結構/農業人數[千人],就業結構/農業占就業者人數[%],就業結構/工業人數[千人],就業結構/工業占就業者人數[%],就業結構/服務業人數[千人],就業結構/服務業占就業者人數[%],就業者教育程度/大專以上人數[千人],就業者教育程度/大專以上占就業者人數[%],就業者教育程度/高中職人數[千人],就業者教育程度/高中職占就業者人數[%],就業者教育程度/國中以下人數[千人],就業者教育程度/國中以下占就業者人數[%]
87年1月,2018,1159,1128,31,859,57.4,2.6,5,0.44,245,21.72,878,77.84,-,-,-,-,-,-
87年2月,2020,1137,1108,29,883,56.3,2.6,8,0.72,246,22.2,854,77.08,-,-,-,-,-,-
87年3月,2026,1140,1117,24,886,56.3,2.1,6,0.54,238,21.31,873,78.16,-,-,-,-,-,-
87年4月,2031,1139,1114,25,892,56.1,2.2,5,0.45,234,21.01,876,78.64,-,-,-,-,-,-
87年5月,2030,1134,1108,26,896,55.9,2.3,5,0.45,257,23.19,846,76.35,-,-,-,-,-,-
87年6月,2032,1140,1111,29,892,56.1,2.5,4,0.36,254,22.86,853,76.78,-,-,-,-,-,-
87年7月,2037,1140,1109,31,897,56,2.7,4,0.36,251,22.63,854,77.01,-,-,-,-,-,-
87年8月,2040,1133,1099,34,907,55.6,3,3,0.27,236,21.47,860,78.25,-,-,-,-,-,-
87年9月,2043,1130,1096,33,913,55.3,3,3,0.27,233,21.26,861,78.56,-,-,-,-,-,-
87年10月,2045,1159,1125,33,886,56.7,2.9,3,0.27,235,20.89,887,78.84,-,-,-,-,-,-
87年11月,2048,1154,1123,30,894,56.4,2.6,2,0.18,222,19.77,899,80.05,-,-,-,-,-,-
87年12月,2051,1147,1118,29,904,55.9,2.5,7,0.63,239,21.38,873,78.09,-,-,-,-,-,-
88年1月,2036,1157,1123,34,879,56.8,2.9,7,0.62,230,20.48,887,78.98,-,-,-,-,-,-
88年2月,2037,1152,1117,35,885,56.5,3,4,0.36,245,21.93,869,77.8,-,-,-,-,-,-
88年3月,2055,1141,1108,33,914,55.5,2.9,4,0.36,256,23.1,848,76.53,-,-,-,-,-,-
88年4月,2057,1142,1113,28,916,55.5,2.5,5,0.45,247,22.19,862,77.45,-,-,-,-,-,-
88年5月,2059,1150,1120,30,909,55.9,2.6,6,0.54,236,21.07,878,78.39,-,-,-,-,-,-
88年6月,2061,1156,1123,33,904,56.1,2.9,4,0.36,224,19.95,896,79.79,-,-,-,-,-,-
88年7月,2063,1165,1130,35,898,56.5,3,5,0.44,242,21.42,884,78.23,-,-,-,-,-,-
88年8月,2064,1155,1120,36,909,56,3.1,6,0.54,244,21.79,870,77.68,-,-,-,-,-,-
88年9月,2064,1167,1134,33,898,56.5,2.8,4,0.35,239,21.08,892,78.66,-,-,-,-,-,-
88年10月,2064,1175,1140,35,889,56.9,3,3,0.26,238,20.88,900,78.95,-,-,-,-,-,-
88年11月,2068,1167,1134,33,901,56.4,2.8,3,0.26,241,21.25,890,78.48,-,-,-,-,-,-
88年12月,2070,1167,1135,32,903,56.4,2.8,6,0.53,238,20.97,891,78.5,-,-,-,-,-,-
89年1月,2073,1168,1138,30,905,56.3,2.6,5,0.44,223,19.6,910,79.96,-,-,-,-,-,-
89年2月,2076,1153,1122,31,923,55.5,2.7,2,0.18,243,21.66,876,78.07,-,-,-,-,-,-
89年3月,2069,1148,1118,29,921,55.5,2.6,3,0.27,248,22.18,867,77.55,-,-,-,-,-,-
89年4月,2071,1164,1135,29,907,56.2,2.5,3,0.26,230,20.26,902,79.47,-,-,-,-,-,-
89年5月,2071,1175,1146,29,897,56.7,2.5,4,0.35,223,19.46,919,80.19,-,-,-,-,-,-
89年6月,2072,1180,1151,29,893,56.9,2.5,4,0.35,217,18.85,930,80.8,-,-,-,-,-,-
89年7月,2075,1179,1150,30,895,56.9,2.5,2,0.17,232,20.17,915,79.57,-,-,-,-,-,-
89年8月,2076,1174,1140,34,902,56.6,2.9,2,0.18,254,22.28,884,77.54,-,-,-,-,-,-
